id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date
10146,Berton,mac,Organic,1/4/16,1/8/16,1/8/16,Ford,Fusion,2012,1/21/16
10147,Wrouver,mac,Organic,1/24/16,1/26/16,NA,,,NA,NA
10148,Strark,other,Referral,1/6/16,2/1/16,NA,,,NA,NA
10149,Wrouver,mac,Organic,1/18/16,2/1/16,NA,,,NA,NA
10150,Strark,other,Referral,1/13/16,1/14/16,1/17/16,Nissan,Altima,2014,1/19/16
10151,Strark,ios web,Referral,1/11/16,NA,NA,,,NA,NA
10152,Berton,mac,Paid,1/5/16,1/9/16,1/13/16,Ford,Focus,2014,1/16/16
10153,Berton,mac,Organic,1/1/16,1/29/16,NA,,,NA,NA
10154,Berton,ios web,Paid,1/4/16,1/4/16,NA,,,NA,NA
10155,Berton,ios web,Paid,1/8/16,1/10/16,NA,,,NA,NA
10156,Berton,mac,Paid,1/17/16,1/24/16,NA,,,NA,NA
10157,Berton,mac,Organic,1/8/16,2/18/16,NA,,,NA,NA
10158,Berton,ios web,Organic,1/21/16,1/23/16,NA,,,NA,NA
10159,Strark,ios web,Paid,1/2/16,1/2/16,1/4/16,Nissan,Quest,2012,1/4/16
10160,Wrouver,other,Paid,1/14/16,1/14/16,NA,,,NA,NA
10161,Berton,android web,Referral,1/7/16,1/14/16,2/21/16,Acura,RDX,2008,NA
10162,Strark,,Referral,1/11/16,1/19/16,1/22/16,Toyota,Prius V,2006,NA
10163,Strark,android web,Referral,1/9/16,NA,NA,,,NA,NA
10164,Berton,windows,Organic,1/6/16,1/8/16,NA,,,NA,NA
10165,Strark,windows,Paid,1/3/16,NA,NA,,,NA,NA
10166,Berton,other,Organic,1/14/16,1/15/16,NA,,,NA,NA
10167,Strark,other,Paid,1/11/16,1/15/16,1/16/16,Kia,Optima,2012,1/24/16
10168,Berton,android web,Organic,1/26/16,2/4/16,2/9/16,Mitsubishi,Lancer,2013,NA
10169,Strark,,Organic,1/12/16,1/12/16,NA,,,NA,NA
10170,Berton,ios web,Paid,1/29/16,NA,NA,,,NA,NA
10171,Strark,,Referral,1/4/16,NA,NA,,,NA,NA
10172,Strark,,Organic,1/26/16,2/3/16,2/6/16,Toyota,RAV4,2015,NA
10173,Strark,ios web,Organic,1/14/16,2/5/16,NA,,,NA,NA
10174,Wrouver,ios web,Paid,1/23/16,1/28/16,NA,,,NA,NA
10175,Strark,windows,Organic,1/19/16,1/20/16,NA,,,NA,NA
10176,Strark,ios web,Organic,1/12/16,1/27/16,NA,,,NA,NA
10177,Strark,,Organic,1/24/16,2/21/16,NA,,,NA,NA
10178,Strark,android web,Organic,1/26/16,2/12/16,2/17/16,Hyundai,Elantra,2016,NA
10179,Berton,windows,Organic,1/21/16,1/21/16,NA,,,NA,NA
10180,Strark,android web,Paid,1/21/16,2/18/16,NA,,,NA,NA
10181,Strark,windows,Paid,1/2/16,2/10/16,2/23/16,Chevrolet,Cruze,2013,NA
10182,Strark,android web,Referral,1/3/16,1/13/16,NA,,,NA,NA
10183,Strark,ios web,Organic,1/17/16,1/25/16,NA,,,NA,NA
10184,Berton,mac,Referral,1/11/16,1/24/16,NA,,,NA,NA
10185,Berton,ios web,Paid,1/1/16,1/1/16,NA,,,NA,NA
10186,Strark,ios web,Paid,1/7/16,1/9/16,NA,,,NA,NA
10187,Strark,ios web,Organic,1/16/16,2/17/16,NA,,,NA,NA
10188,Berton,android web,Referral,1/30/16,NA,NA,,,NA,NA
10189,Strark,windows,Referral,1/1/16,1/1/16,1/3/16,Dodge,Grand Caravan,2012,1/16/16
10190,Strark,ios web,Organic,1/10/16,1/13/16,NA,,,NA,NA
10191,Berton,mac,Paid,1/20/16,NA,NA,,,NA,NA
10192,Strark,ios web,Referral,1/4/16,1/7/16,1/17/16,Toyota,Corolla,2015,NA
10193,Strark,other,Paid,1/9/16,1/9/16,1/20/16,Nissan,Altima,2006,1/20/16
10194,Berton,ios web,Paid,1/16/16,1/23/16,1/25/16,Toyota,Corolla,2003,NA
10195,Strark,android web,Referral,1/14/16,NA,NA,,,NA,NA
10196,Strark,,Referral,1/1/16,NA,NA,,,NA,NA
10197,Strark,ios web,Referral,1/30/16,2/7/16,2/24/16,Toyota,Prius V,2013,NA
10198,Berton,android web,Referral,1/27/16,2/5/16,NA,,,NA,NA
10199,Strark,,Referral,1/1/16,1/1/16,1/4/16,BMW,3-series,2004,NA
10200,Strark,mac,Referral,1/1/16,1/1/16,1/4/16,Toyota,Corolla,2015,1/5/16
10201,Berton,,Referral,1/10/16,NA,NA,,,NA,NA
10202,Berton,mac,Paid,1/20/16,NA,NA,,,NA,NA
10203,Wrouver,ios web,Organic,1/30/16,1/31/16,1/31/16,Audi,A6,2016,2/8/16
10204,Berton,windows,Referral,1/18/16,1/18/16,1/18/16,Ford,Focus,2012,NA
10205,Strark,,Referral,1/9/16,NA,NA,,,NA,NA
10206,Strark,ios web,Paid,1/24/16,1/29/16,NA,,,NA,NA
10207,Strark,ios web,Paid,1/27/16,NA,NA,,,NA,NA
10208,Strark,mac,Organic,1/6/16,1/17/16,NA,,,NA,NA
10209,Strark,ios web,Referral,1/7/16,1/18/16,1/22/16,Kia,Rio,2015,1/21/16
10210,Strark,android web,Paid,1/19/16,1/30/16,NA,,,NA,NA
10211,Berton,ios web,Referral,1/5/16,1/7/16,1/11/16,Toyota,Prius V,2004,1/30/16
10212,Strark,ios web,Referral,1/5/16,1/12/16,NA,,,NA,NA
10213,Wrouver,android web,Paid,1/30/16,NA,NA,,,NA,NA
10214,Strark,android web,Organic,1/8/16,1/12/16,NA,,,NA,NA
10215,Berton,android web,Paid,1/3/16,2/3/16,NA,,,NA,NA
10216,Strark,android web,Paid,1/15/16,1/30/16,2/18/16,Toyota,Tacoma,2003,NA
10217,Strark,ios web,Paid,1/9/16,NA,NA,,,NA,NA
10218,Wrouver,ios web,Referral,1/25/16,1/25/16,1/26/16,Volkswagen,Tiguan,2013,2/11/16
10219,Berton,mac,Paid,1/21/16,2/11/16,NA,,,NA,NA
10220,Berton,android web,Referral,1/30/16,NA,NA,,,NA,NA
10221,Berton,android web,Paid,1/25/16,1/27/16,NA,,,NA,NA
10222,Strark,android web,Organic,1/27/16,1/28/16,1/28/16,Ford,Edge,2013,NA
10223,Berton,ios web,Paid,1/5/16,NA,NA,,,NA,NA
10224,Strark,ios web,Paid,1/23/16,2/1/16,NA,,,NA,NA
10225,Berton,android web,Referral,1/12/16,1/12/16,1/14/16,Ford,Fusion,2015,1/20/16
10226,Berton,android web,Paid,1/18/16,2/17/16,NA,,,NA,NA
10227,Strark,android web,Paid,1/24/16,NA,NA,,,NA,NA
10228,Berton,other,Paid,1/17/16,1/17/16,1/21/16,Nissan,Altima,2011,1/26/16
10229,Wrouver,other,Organic,1/13/16,NA,NA,,,NA,NA
10230,Strark,ios web,Paid,1/26/16,NA,NA,,,NA,NA
10231,Strark,ios web,Paid,1/9/16,NA,NA,,,NA,NA
10232,Berton,android web,Organic,1/12/16,2/3/16,NA,,,NA,NA
10233,Strark,windows,Paid,1/15/16,1/15/16,1/15/16,Ford,Taurus X,2011,1/30/16
10234,Strark,android web,Paid,1/5/16,NA,NA,,,NA,NA
10235,Strark,ios web,Paid,1/11/16,NA,NA,,,NA,NA
10236,Strark,android web,Referral,1/9/16,1/9/16,NA,,,NA,NA
10237,Strark,windows,Referral,1/7/16,1/21/16,1/21/16,Chevrolet,Impala,2003,NA
10238,Berton,ios web,Referral,1/7/16,1/22/16,2/19/16,Volkswagen,e-Golf,2015,NA
10239,Strark,ios web,Paid,1/17/16,1/17/16,1/17/16,Honda,Accord,2015,NA
10240,Strark,windows,Referral,1/26/16,1/28/16,1/30/16,Kia,Optima,2011,1/30/16
10241,Strark,ios web,Referral,1/6/16,1/12/16,1/12/16,Toyota,Corolla,2004,1/20/16
10242,Strark,windows,Organic,1/10/16,2/9/16,NA,,,NA,NA
10243,Strark,android web,Paid,1/15/16,2/4/16,2/7/16,Mitsubishi,Galant,2008,NA
10244,Strark,android web,Referral,1/11/16,1/15/16,1/19/16,Nissan,Sentra,2015,1/19/16
10245,Wrouver,ios web,Referral,1/9/16,1/9/16,1/14/16,Toyota,Corolla,2009,1/31/16
10246,Berton,android web,Referral,1/13/16,1/26/16,NA,,,NA,NA
10247,Berton,ios web,Paid,1/16/16,1/18/16,NA,,,NA,NA
10248,Berton,ios web,Referral,1/18/16,1/18/16,1/18/16,Infiniti,JX,2013,1/22/16
10249,Strark,other,Paid,1/23/16,1/27/16,2/12/16,Nissan,Altima,2014,NA
10250,Strark,android web,Organic,1/17/16,1/26/16,NA,,,NA,NA
10251,Berton,mac,Paid,1/8/16,1/12/16,1/15/16,Toyota,RAV4,2016,NA
10252,Berton,windows,Referral,1/5/16,1/10/16,NA,,,NA,NA
10253,Strark,,Referral,1/25/16,2/19/16,NA,,,NA,NA
10254,Berton,,Referral,1/4/16,NA,NA,,,NA,NA
10255,Wrouver,ios web,Paid,1/23/16,1/23/16,NA,,,NA,NA
10256,Strark,android web,Paid,1/7/16,1/27/16,NA,,,NA,NA
10257,Berton,android web,Paid,1/14/16,1/17/16,NA,,,NA,NA
10258,Berton,ios web,Referral,1/19/16,1/30/16,NA,,,NA,NA
10259,Wrouver,windows,Paid,1/30/16,2/19/16,2/24/16,Ford,Escape Hybrid,2008,NA
10260,Berton,android web,Paid,1/4/16,1/4/16,1/4/16,Kia,Optima,2015,1/11/16
10261,Strark,android web,Paid,1/27/16,1/29/16,1/31/16,Toyota,Camry,2016,2/9/16
10262,Strark,other,Paid,1/19/16,NA,2/21/16,Toyota,Camry,2005,NA
10263,Berton,android web,Paid,1/9/16,NA,NA,,,NA,NA
10264,Wrouver,mac,Paid,1/6/16,NA,NA,,,NA,NA
10265,Strark,android web,Paid,1/7/16,1/17/16,NA,,,NA,NA
10266,Wrouver,android web,Paid,1/23/16,NA,NA,,,NA,NA
10267,Berton,,Paid,1/21/16,NA,NA,,,NA,NA
10268,Berton,windows,Paid,1/29/16,NA,NA,,,NA,NA
10269,Wrouver,android web,Paid,1/12/16,NA,NA,,,NA,NA
10270,Strark,mac,Referral,1/1/16,NA,NA,,,NA,NA
10271,Strark,android web,Paid,1/8/16,NA,NA,,,NA,NA
10272,Berton,android web,Paid,1/24/16,NA,NA,,,NA,NA
10273,Berton,mac,Paid,1/9/16,NA,NA,,,NA,NA
10274,Strark,android web,Paid,1/18/16,NA,NA,,,NA,NA
10275,Strark,android web,Referral,1/3/16,NA,NA,,,NA,NA
10276,Strark,ios web,Referral,1/4/16,NA,NA,,,NA,NA
10277,Wrouver,ios web,Paid,1/28/16,NA,NA,,,NA,NA
10278,Berton,mac,Referral,1/6/16,NA,NA,,,NA,NA
10279,Berton,other,Paid,1/29/16,NA,NA,,,NA,NA
10280,Berton,other,Paid,1/30/16,NA,NA,,,NA,NA
10281,Strark,android web,Paid,1/20/16,NA,NA,,,NA,NA
10282,Berton,mac,Paid,1/28/16,NA,NA,,,NA,NA
10283,Berton,other,Paid,1/21/16,NA,NA,,,NA,NA
10284,Strark,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10285,Strark,ios web,Referral,1/1/16,NA,NA,,,NA,NA
10286,Berton,mac,Paid,1/7/16,NA,NA,,,NA,NA
10287,Berton,other,Paid,1/7/16,NA,NA,,,NA,NA
10288,Berton,android web,Paid,1/28/16,NA,NA,,,NA,NA
10289,Berton,other,Paid,1/25/16,NA,NA,,,NA,NA
10290,Strark,android web,Paid,1/8/16,NA,NA,,,NA,NA
10291,Berton,windows,Referral,1/13/16,NA,NA,,,NA,NA
10292,Strark,android web,Organic,1/25/16,NA,NA,,,NA,NA
10293,Wrouver,ios web,Paid,1/11/16,NA,NA,,,NA,NA
10294,Strark,android web,Paid,1/8/16,NA,NA,,,NA,NA
10295,Strark,android web,Referral,1/6/16,NA,NA,,,NA,NA
10296,Berton,windows,Paid,1/4/16,NA,NA,,,NA,NA
10297,Strark,,Referral,1/5/16,NA,NA,,,NA,NA
10298,Strark,windows,Paid,1/17/16,NA,NA,,,NA,NA
10299,Wrouver,ios web,Paid,1/6/16,NA,NA,,,NA,NA
10300,Strark,,Referral,1/11/16,NA,NA,,,NA,NA
10301,Strark,,Referral,1/10/16,NA,NA,,,NA,NA
10302,Berton,,Organic,1/23/16,NA,NA,,,NA,NA
10303,Strark,ios web,Referral,1/18/16,NA,NA,,,NA,NA
10304,Wrouver,ios web,Organic,1/9/16,NA,NA,,,NA,NA
10305,Strark,mac,Paid,1/14/16,NA,NA,,,NA,NA
10306,Berton,android web,Organic,1/19/16,NA,NA,,,NA,NA
10307,Wrouver,windows,Paid,1/4/16,NA,NA,,,NA,NA
10308,Berton,android web,Paid,1/15/16,NA,NA,,,NA,NA
10309,Berton,ios web,Organic,1/27/16,NA,NA,,,NA,NA
10310,Berton,mac,Referral,1/13/16,NA,NA,,,NA,NA
10311,Berton,ios web,Organic,1/28/16,2/13/16,NA,,,NA,2/13/16
10312,Strark,ios web,Referral,1/22/16,NA,NA,,,NA,NA
10313,Berton,,Organic,1/23/16,NA,NA,,,NA,NA
10314,Strark,ios web,Paid,1/10/16,NA,NA,,,NA,NA
10315,Wrouver,ios web,Paid,1/19/16,NA,NA,,,NA,NA
10316,Berton,mac,Paid,1/7/16,NA,NA,,,NA,NA
10317,Strark,android web,Paid,1/10/16,NA,NA,,,NA,NA
10318,Wrouver,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10319,Berton,android web,Organic,1/19/16,NA,NA,,,NA,NA
10320,Berton,,Organic,1/9/16,NA,NA,,,NA,NA
10321,Berton,android web,Organic,1/29/16,NA,NA,,,NA,NA
10322,Strark,ios web,Paid,1/18/16,NA,NA,,,NA,NA
10323,Berton,mac,Referral,1/12/16,NA,NA,,,NA,NA
10324,Berton,,Referral,1/10/16,NA,NA,,,NA,NA
10325,Strark,other,Referral,1/7/16,NA,NA,,,NA,NA
10326,Wrouver,mac,Paid,1/1/16,NA,NA,,,NA,NA
10327,Berton,,Organic,1/30/16,NA,NA,,,NA,NA
10328,Berton,android web,Organic,1/1/16,NA,NA,,,NA,NA
10329,Strark,mac,Paid,1/21/16,NA,NA,,,NA,NA
10330,Wrouver,android web,Paid,1/13/16,NA,NA,,,NA,NA
10331,Strark,windows,Paid,1/9/16,NA,NA,,,NA,NA
10332,Berton,mac,Organic,1/12/16,NA,NA,,,NA,NA
10333,Strark,other,Referral,1/16/16,NA,NA,,,NA,NA
10334,Berton,ios web,Paid,1/15/16,NA,NA,,,NA,NA
10335,Strark,,Referral,1/6/16,NA,NA,,,NA,NA
10336,Strark,mac,Paid,1/5/16,NA,NA,,,NA,NA
10337,Berton,other,Paid,1/13/16,NA,NA,,,NA,NA
10338,Berton,ios web,Organic,1/15/16,NA,NA,,,NA,NA
10339,Strark,windows,Referral,1/26/16,NA,NA,,,NA,NA
10340,Berton,mac,Paid,1/10/16,NA,NA,,,NA,NA
10341,Strark,,Referral,1/3/16,NA,NA,,,NA,NA
10342,Berton,ios web,Paid,1/30/16,NA,NA,,,NA,NA
10343,Strark,windows,Paid,1/21/16,NA,NA,,,NA,NA
10344,Wrouver,ios web,Paid,1/22/16,NA,NA,,,NA,NA
10345,Berton,android web,Paid,1/25/16,NA,NA,,,NA,NA
10346,Strark,ios web,Paid,1/4/16,NA,NA,,,NA,NA
10347,Wrouver,windows,Paid,1/9/16,NA,NA,,,NA,NA
10348,Strark,ios web,Paid,1/23/16,NA,NA,,,NA,NA
10349,Strark,,Referral,1/1/16,NA,NA,,,NA,NA
10350,Strark,ios web,Paid,1/23/16,NA,NA,,,NA,NA
10351,Strark,,Referral,1/8/16,NA,NA,,,NA,NA
10352,Berton,android web,Paid,1/11/16,NA,NA,,,NA,NA
10353,Wrouver,mac,Paid,1/4/16,NA,NA,,,NA,NA
10354,Strark,,Organic,1/20/16,NA,NA,,,NA,NA
10355,Strark,ios web,Organic,1/7/16,NA,NA,,,NA,NA
10356,Berton,,Referral,1/6/16,NA,NA,,,NA,NA
10357,Strark,windows,Paid,1/10/16,NA,NA,,,NA,NA
10358,Berton,ios web,Paid,1/4/16,NA,NA,,,NA,NA
10359,Berton,,Organic,1/9/16,NA,NA,,,NA,NA
10360,Berton,ios web,Paid,1/22/16,NA,NA,,,NA,NA
10361,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
10362,Wrouver,other,Paid,1/23/16,NA,NA,,,NA,NA
10363,Strark,windows,Paid,1/7/16,NA,NA,,,NA,NA
10364,Wrouver,windows,Organic,1/14/16,NA,NA,,,NA,NA
10365,Strark,,Referral,1/1/16,NA,NA,,,NA,NA
10366,Berton,mac,Referral,1/15/16,NA,NA,,,NA,NA
10367,Strark,ios web,Paid,1/15/16,NA,NA,,,NA,NA
10368,Berton,windows,Paid,1/2/16,NA,NA,,,NA,NA
10369,Berton,mac,Paid,1/19/16,NA,NA,,,NA,NA
10370,Wrouver,other,Referral,1/13/16,NA,NA,,,NA,NA
10371,Strark,ios web,Paid,1/20/16,NA,NA,,,NA,NA
10372,Strark,windows,Paid,1/7/16,NA,NA,,,NA,NA
10373,Strark,ios web,Organic,1/30/16,NA,NA,,,NA,NA
10374,Berton,ios web,Paid,1/19/16,NA,NA,,,NA,NA
10375,Strark,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10376,Strark,,Referral,1/18/16,NA,NA,,,NA,NA
10377,Strark,android web,Organic,1/16/16,NA,NA,,,NA,NA
10378,Strark,,Referral,1/9/16,NA,NA,,,NA,NA
10379,Strark,,Referral,1/1/16,NA,NA,,,NA,NA
10380,Berton,ios web,Paid,1/30/16,NA,NA,,,NA,NA
10381,Wrouver,other,Referral,1/17/16,NA,NA,,,NA,NA
10382,Strark,ios web,Organic,1/3/16,NA,NA,,,NA,NA
10383,Strark,ios web,Paid,1/19/16,NA,NA,,,NA,NA
10384,Berton,ios web,Paid,1/4/16,NA,NA,,,NA,NA
10385,Strark,,Referral,1/8/16,NA,NA,,,NA,NA
10386,Wrouver,windows,Paid,1/7/16,NA,NA,,,NA,NA
10387,Strark,,Referral,1/6/16,NA,NA,,,NA,NA
10388,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
10389,Berton,ios web,Paid,1/9/16,NA,NA,,,NA,NA
10390,Strark,ios web,Paid,1/6/16,NA,NA,,,NA,NA
10391,Berton,ios web,Paid,1/4/16,NA,NA,,,NA,NA
10392,Strark,android web,Paid,1/23/16,NA,NA,,,NA,NA
10393,Strark,windows,Organic,1/5/16,NA,NA,,,NA,NA
10394,Berton,ios web,Paid,1/23/16,NA,NA,,,NA,NA
10395,Wrouver,ios web,Paid,1/16/16,NA,NA,,,NA,NA
10396,Strark,android web,Paid,1/4/16,NA,NA,,,NA,NA
10397,Wrouver,ios web,Paid,1/2/16,NA,NA,,,NA,NA
10398,Strark,android web,Paid,1/13/16,NA,NA,,,NA,NA
10399,Berton,mac,Paid,1/15/16,NA,NA,,,NA,NA
10400,Strark,,Organic,1/24/16,NA,NA,,,NA,NA
10401,Strark,,Organic,1/29/16,NA,NA,,,NA,NA
10402,Berton,ios web,Paid,1/7/16,NA,NA,,,NA,NA
10403,Berton,ios web,Paid,1/6/16,NA,NA,,,NA,NA
10404,Strark,android web,Referral,1/13/16,NA,NA,,,NA,NA
10405,Strark,,Organic,1/22/16,NA,NA,,,NA,NA
10406,Strark,,Referral,1/2/16,NA,NA,,,NA,NA
10407,Wrouver,,Organic,1/24/16,NA,NA,,,NA,NA
10408,Wrouver,mac,Paid,1/16/16,NA,NA,,,NA,NA
10409,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
10410,Strark,,Organic,1/21/16,NA,NA,,,NA,NA
10411,Strark,android web,Paid,1/9/16,NA,NA,,,NA,NA
10412,Strark,mac,Paid,1/14/16,NA,NA,,,NA,NA
10413,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
10414,Strark,android web,Organic,1/6/16,1/10/16,NA,,,NA,NA
10415,Berton,,Referral,1/6/16,NA,NA,,,NA,NA
10416,Berton,ios web,Organic,1/8/16,NA,NA,,,NA,NA
10417,Berton,mac,Paid,1/13/16,NA,NA,,,NA,NA
10418,Berton,android web,Paid,1/29/16,NA,NA,,,NA,NA
10419,Strark,mac,Organic,1/15/16,NA,NA,,,NA,NA
10420,Berton,mac,Referral,1/27/16,NA,NA,,,NA,NA
10421,Strark,android web,Paid,1/5/16,NA,NA,,,NA,NA
10422,Strark,mac,Paid,1/22/16,NA,NA,,,NA,NA
10423,Berton,ios web,Organic,1/5/16,NA,NA,,,NA,NA
10424,Strark,,Organic,1/25/16,NA,NA,,,NA,NA
10425,Strark,other,Paid,1/17/16,NA,NA,,,NA,NA
10426,Wrouver,windows,Paid,1/15/16,NA,NA,,,NA,NA
10427,Berton,ios web,Paid,1/18/16,NA,NA,,,NA,NA
10428,Berton,,Referral,1/11/16,NA,NA,,,NA,NA
10429,Berton,ios web,Organic,1/30/16,NA,NA,,,NA,NA
10430,Berton,windows,Paid,1/4/16,NA,NA,,,NA,NA
10431,Wrouver,android web,Paid,1/16/16,NA,NA,,,NA,NA
10432,Strark,ios web,Organic,1/25/16,NA,NA,,,NA,NA
10433,Strark,windows,Referral,1/14/16,NA,NA,,,NA,NA
10434,Berton,mac,Referral,1/7/16,1/14/16,NA,,,NA,NA
10435,Strark,ios web,Paid,1/6/16,NA,NA,,,NA,NA
10436,Berton,ios web,Paid,1/18/16,NA,NA,,,NA,NA
10437,Berton,android web,Paid,1/13/16,NA,NA,,,NA,NA
10438,Berton,mac,Paid,1/22/16,NA,NA,,,NA,NA
10439,Strark,ios web,Organic,1/22/16,1/31/16,NA,,,NA,NA
10440,Wrouver,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10441,Strark,android web,Paid,1/7/16,NA,NA,,,NA,NA
10442,Strark,windows,Paid,1/27/16,NA,NA,,,NA,NA
10443,Strark,android web,Paid,1/25/16,NA,NA,,,NA,NA
10444,Strark,android web,Paid,1/25/16,NA,NA,,,NA,NA
10445,Strark,android web,Paid,1/3/16,NA,NA,,,NA,NA
10446,Berton,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10447,Wrouver,ios web,Paid,1/25/16,NA,NA,,,NA,NA
10448,Strark,android web,Paid,1/20/16,NA,NA,,,NA,NA
10449,Strark,android web,Referral,1/13/16,NA,NA,,,NA,NA
10450,Berton,android web,Paid,1/2/16,NA,NA,,,NA,NA
10451,Wrouver,ios web,Organic,1/1/16,NA,NA,,,NA,NA
10452,Wrouver,ios web,Paid,1/4/16,NA,NA,,,NA,NA
10453,Berton,ios web,Paid,1/11/16,NA,NA,,,NA,NA
10454,Berton,mac,Paid,1/29/16,NA,NA,,,NA,NA
10455,Berton,windows,Referral,1/20/16,NA,NA,,,NA,NA
10456,Berton,,Referral,1/1/16,NA,NA,,,NA,NA
10457,Strark,mac,Paid,1/6/16,NA,NA,,,NA,NA
10458,Berton,android web,Paid,1/22/16,NA,NA,,,NA,NA
10459,Berton,ios web,Paid,1/21/16,NA,NA,,,NA,NA
10460,Strark,ios web,Referral,1/20/16,NA,NA,,,NA,NA
10461,Strark,,Organic,1/9/16,NA,NA,,,NA,NA
10462,Berton,,Referral,1/11/16,NA,NA,,,NA,NA
10463,Berton,android web,Organic,1/20/16,NA,NA,,,NA,NA
10464,Berton,android web,Paid,1/21/16,NA,NA,,,NA,NA
10465,Strark,ios web,Paid,1/23/16,NA,NA,,,NA,NA
10466,Wrouver,android web,Paid,1/23/16,NA,NA,,,NA,NA
10467,Wrouver,ios web,Organic,1/8/16,NA,NA,,,NA,NA
10468,Berton,,Referral,1/11/16,NA,NA,,,NA,NA
10469,Strark,android web,Paid,1/24/16,NA,NA,,,NA,NA
10470,Berton,android web,Paid,1/8/16,NA,NA,,,NA,NA
10471,Berton,,Referral,1/3/16,NA,NA,,,NA,NA
10472,Wrouver,android web,Paid,1/21/16,NA,NA,,,NA,NA
10473,Berton,ios web,Organic,1/5/16,NA,NA,,,NA,NA
10474,Strark,android web,Paid,1/14/16,NA,NA,,,NA,NA
10475,Strark,,Referral,1/6/16,NA,NA,,,NA,NA
10476,Berton,android web,Referral,1/20/16,NA,NA,,,NA,NA
10477,Berton,android web,Paid,1/1/16,NA,NA,,,NA,NA
10478,Strark,mac,Paid,1/12/16,NA,NA,,,NA,NA
10479,Berton,mac,Organic,1/18/16,2/16/16,NA,,,NA,NA
10480,Strark,ios web,Paid,1/2/16,NA,NA,,,NA,NA
10481,Berton,other,Paid,1/3/16,NA,NA,,,NA,NA
10482,Wrouver,android web,Paid,1/24/16,NA,NA,,,NA,NA
10483,Strark,android web,Organic,1/23/16,NA,NA,,,NA,NA
10484,Berton,ios web,Paid,1/18/16,NA,NA,,,NA,NA
10485,Wrouver,ios web,Organic,1/13/16,NA,NA,,,NA,NA
10486,Berton,windows,Organic,1/11/16,NA,NA,,,NA,NA
10487,Strark,,Referral,1/5/16,NA,NA,,,NA,NA
10488,Berton,ios web,Paid,1/26/16,NA,NA,,,NA,NA
10489,Strark,android web,Organic,1/18/16,NA,NA,,,NA,NA
10490,Strark,mac,Paid,1/7/16,NA,NA,,,NA,NA
10491,Strark,other,Organic,1/8/16,NA,NA,,,NA,NA
10492,Strark,,Referral,1/9/16,NA,NA,,,NA,NA
10493,Berton,android web,Paid,1/10/16,NA,NA,,,NA,NA
10494,Wrouver,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10495,Berton,ios web,Paid,1/15/16,NA,NA,,,NA,NA
10496,Strark,ios web,Paid,1/22/16,NA,NA,,,NA,NA
10497,Strark,android web,Paid,1/5/16,NA,NA,,,NA,NA
10498,Strark,,Referral,1/10/16,NA,NA,,,NA,NA
10499,Strark,android web,Paid,1/8/16,NA,NA,,,NA,NA
10500,Strark,ios web,Organic,1/12/16,NA,NA,,,NA,NA
10501,Berton,ios web,Paid,1/11/16,NA,NA,,,NA,NA
10502,Wrouver,ios web,Organic,1/4/16,NA,NA,,,NA,NA
10503,Strark,,Referral,1/27/16,NA,NA,,,NA,NA
10504,Strark,ios web,Paid,1/7/16,NA,NA,,,NA,NA
10505,Berton,android web,Paid,1/12/16,NA,NA,,,NA,NA
10506,Strark,mac,Organic,1/16/16,NA,NA,,,NA,NA
10507,Berton,windows,Paid,1/30/16,NA,NA,,,NA,NA
10508,Strark,other,Organic,1/9/16,1/11/16,NA,,,NA,NA
10509,Berton,ios web,Paid,1/1/16,NA,NA,,,NA,NA
10510,Strark,android web,Paid,1/22/16,NA,NA,,,NA,NA
10511,Berton,windows,Paid,1/19/16,NA,NA,,,NA,NA
10512,Berton,,Referral,1/6/16,NA,NA,,,NA,NA
10513,Strark,ios web,Paid,1/10/16,NA,NA,,,NA,NA
10514,Strark,android web,Paid,1/27/16,NA,NA,,,NA,NA
10515,Strark,,Referral,1/8/16,NA,NA,,,NA,NA
10516,Wrouver,other,Paid,1/30/16,NA,NA,,,NA,NA
10517,Strark,android web,Paid,1/1/16,NA,NA,,,NA,NA
10518,Strark,mac,Organic,1/19/16,1/20/16,NA,,,NA,1/29/16
10519,Berton,android web,Organic,1/14/16,NA,NA,,,NA,NA
10520,Strark,,Referral,1/11/16,NA,NA,,,NA,NA
10521,Strark,android web,Paid,1/26/16,NA,NA,,,NA,NA
10522,Strark,other,Referral,1/26/16,NA,NA,,,NA,NA
10523,Berton,ios web,Paid,1/15/16,NA,NA,,,NA,NA
10524,Strark,android web,Paid,1/14/16,NA,NA,,,NA,NA
10525,Wrouver,windows,Organic,1/8/16,NA,NA,,,NA,NA
10526,Berton,ios web,Referral,1/22/16,NA,NA,,,NA,NA
10527,Berton,mac,Paid,1/17/16,NA,NA,,,NA,NA
10528,Strark,windows,Paid,1/14/16,NA,NA,,,NA,NA
